age,hours-per-week,workclass_Government,workclass_Private,workclass_Self-emp,education_Bachelors,education_Doctorate,education_High School,education_Masters,race_Asian,race_Black,race_Hispanic,race_White,sex_Female,sex_Male,income
56,40,False,True,False,False,False,True,False,False,False,True,False,True,False,1
69,58,False,True,False,False,False,True,False,False,True,False,False,False,True,0
46,49,False,True,False,False,True,False,False,False,False,True,False,False,True,1
32,27,False,True,False,False,False,False,True,False,True,False,False,False,True,0
60,39,False,True,False,True,False,False,False,False,False,False,True,False,True,0
25,51,False,True,False,False,False,False,True,False,False,False,True,True,False,0
38,41,False,True,False,True,False,False,False,False,True,False,False,False,True,1
56,26,False,True,False,True,False,False,False,False,True,False,False,False,True,0
36,28,False,True,False,False,False,True,False,False,False,False,True,True,False,0
40,20,False,False,True,True,False,False,False,False,False,False,True,False,True,0
28,48,False,True,False,False,False,True,False,False,False,True,False,False,True,0
28,27,False,True,False,False,False,False,True,False,False,False,True,False,True,0
41,23,False,False,True,True,False,False,False,False,False,False,True,True,False,0
53,54,False,True,False,True,False,False,False,False,False,False,True,True,False,0
57,22,False,True,False,False,False,True,False,False,False,False,True,True,False,0
41,59,False,True,False,False,False,True,False,False,False,False,True,False,True,0
20,26,False,True,False,False,False,True,False,False,False,False,True,True,False,0
39,46,False,False,True,False,False,True,False,False,False,False,True,False,True,0
19,20,False,True,False,False,False,True,False,False,True,False,False,False,True,0
41,46,False,True,False,False,False,False,True,False,False,False,True,False,True,0
61,35,False,True,False,True,False,False,False,True,False,False,False,False,True,0
47,57,False,True,False,False,False,True,False,True,False,False,False,True,False,1
55,26,False,True,False,False,False,True,False,False,False,False,True,True,False,1
19,42,False,True,False,False,False,True,False,False,True,False,False,True,False,1
38,30,False,True,False,True,False,False,False,False,False,False,True,True,False,0
50,52,True,False,False,True,False,False,False,True,False,False,False,True,False,0
29,55,False,True,False,False,False,False,True,False,False,False,True,False,True,0
39,56,False,True,False,False,False,True,False,False,True,False,False,False,True,0
61,36,False,True,False,False,True,False,False,False,True,False,False,True,False,0
42,54,False,True,False,False,False,False,True,False,False,False,True,False,True,0
